rank,score,priority,sla_hours,owner,product,scanner,title,severity,cve,cwe,endpoint,parameter,epss_score,epss_percentile,epss_trend,kev,kev_date,exploit_available,exploit_source,escalation_potential,package,fixed_version,description,remediation_summary
11,40.0,P3,168,appsec-web,juice_shop,trivy,node-tar: tar: node-tar: Arbitrary file creation via path traversal bypass in hardlink security check,high,CVE-2026-24842,CWE-22,Node.js,,,,,False,,False,,0.798,tar,7.5.7,"node-tar,a Tar for Node.js, contains a vulnerability in versions prior to 7.5.7 where the security check for hardlink entries uses different path resolution semantics than the actual hardlink creation logic. This mismatch allows an attacker to craft a malicious TAR archive that bypasses path traversal protections and creates hardlinks to arbitrary files outside the extraction directory. Version 7.5.7 contains a fix for the issue.","[first_aid] Apply the vendor security patch for CVE-2026-24842; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package tar from 6.2.1 to 7.5.7 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade tar from 6.2.1 to 7.5.7"
12,39.7,P4,720,appsec-web,juice_shop,trivy,jsonwebtoken: Unrestricted key type could lead to legacy keys usagen,high,CVE-2022-23539,CWE-327,Node.js,,,,,False,,False,,0.0,jsonwebtoken,9.0.0,"Versions `<=8.5.1` of `jsonwebtoken` library could be misconfigured so that legacy, insecure key types are used for signature verification. For example, DSA keys could be used with the RS256 algorithm. You are affected if you are using an algorithm and a key type other than a combination listed in the GitHub Security Advisory as unaffected. This issue has been fixed, please update to version 9.0.0. This version validates for asymmetric key type and algorithm combinations. Please refer to the above mentioned algorithm / key type combinations for the valid secure configuration. After updating to version 9.0.0, if you still intend to continue with signing or verifying tokens using invalid key type/algorithm value combinations, you’ll need to set the `allowInvalidAsymmetricKeyTypes` option  to `true` in the `sign()` and/or `verify()` functions.","[first_aid] Apply the vendor security patch for CVE-2022-23539; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package jsonwebtoken from 0.1.0 to 9.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade jsonwebtoken from 0.1.0 to 9.0.0"
13,39.5,P4,720,appsec-web,juice_shop,trivy,Out-of-bounds Read,high,NSWG-ECO-428,,Node.js,,,,,False,,False,,,base64url,>=3.0.0,`base64url` allocates uninitialized Buffers when number is passed in input on Node.js 4.x and below,"[first_aid] Apply the vendor security patch for NSWG-ECO-428; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package base64url from 0.0.6 to >=3.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade base64url from 0.0.6 to >=3.0.0"
14,39.5,P4,720,appsec-web,juice_shop,trivy,Verification Bypass,high,NSWG-ECO-17,,Node.js,,,,,False,,False,,,jsonwebtoken,>=4.2.2,"It is possible for an attacker to bypass verification when ""a token digitally signed with an asymetric key (RS/ES family) of algorithms but instead the attacker send a token digitally signed with a symmetric algorithm (HS* family)"" [1]","[first_aid] Apply the vendor security patch for NSWG-ECO-17; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package jsonwebtoken from 0.1.0 to >=4.2.2 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade jsonwebtoken from 0.1.0 to >=4.2.2"
15,39.0,P4,720,appsec-node,nodegoat,trivy,zlib: heap-based buffer over-read and overflow in inflate() in inflate.c via a large gzip header extra field,critical,CVE-2022-37434,CWE-787,nodegoat-web:latest (alpine 3.15.4),,,,,False,,False,,0.0,zlib,1.2.12-r2,"zlib through 1.2.12 has a heap-based buffer over-read or buffer overflow in inflate in inflate.c via a large gzip header extra field. NOTE: only applications that call inflateGetHeader are affected. Some common applications bundle the affected zlib source code but may be unable to call inflateGetHeader (e.g., see the nodejs/node reference).","[first_aid] Apply the vendor security patch for CVE-2022-37434; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package zlib from 1.2.12-r0 to 1.2.12-r2 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade zlib from 1.2.12-r0 to 1.2.12-r2"
16,39.0,P4,720,appsec-node,nodegoat,trivy,bson: Deserialization of Untrusted Data could result in Code injection or Excessive CPU load,critical,CVE-2020-7610,CWE-502,Node.js,,,,,False,,False,,0.912,bson,1.1.4,"All versions of bson before 1.1.4 are vulnerable to Deserialization of Untrusted Data. The package will ignore an unknown value for an object's _bsotype, leading to cases where an object is serialized as a document rather than the intended BSON type.","[first_aid] Apply the vendor security patch for CVE-2020-7610; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package bson from 1.0.9 to 1.1.4 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade bson from 1.0.9 to 1.1.4"
17,39.0,P4,720,appsec-node,nodegoat,trivy,node-ip: Incomplete fix for CVE-2023-42282,high,CVE-2024-29415,CWE-918,Node.js,,,,,False,,False,,0.0,ip,,"The ip package through 2.0.1 for Node.js might allow SSRF because some IP addresses (such as 127.1, 01200034567, 012.1.2.3, 000:0:0000::01, and ::fFFf:127.0.0.1) are improperly categorized as globally routable via isPublic. NOTE: this issue exists because of an incomplete fix for CVE-2023-42282.",[first_aid] Block outbound traffic to internal/metadata ranges at the firewall; disable the vulnerable fetcher. | [full_remediation] Validate and allow-list server-side request targets; use an outbound proxy with deny rules for RFC1918/metadata. | [scanner_guidance] node-ip: Incomplete fix for CVE-2023-42282
18,39.0,P4,720,appsec-node,nodegoat,trivy,nodejs-ip: arbitrary code execution via the isPublic() function,low,CVE-2023-42282,CWE-918,Node.js,,,,,False,,False,,0.0,ip,"2.0.1, 1.1.9",The ip package before 1.1.9 for Node.js might allow SSRF because some IP addresses (such as 0x7f.1) are improperly categorized as globally routable via isPublic.,"[first_aid] Apply the vendor security patch for CVE-2023-42282; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package ip from 1.1.5 to 2.0.1, 1.1.9 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade ip from 1.1.5 to 2.0.1, 1.1.9"
19,39.0,P4,720,appsec-node,nodegoat,trivy,tough-cookie: prototype pollution in cookie memstore,medium,CVE-2023-26136,CWE-1321,Node.js,,,,,False,,False,,0.0,tough-cookie,4.1.3,Versions of the package tough-cookie before 4.1.3 are vulnerable to Prototype Pollution due to improper handling of Cookies when using CookieJar in rejectPublicSuffixes=false mode. This issue arises from the manner in which the objects are initialized.,"[first_aid] Apply the vendor security patch for CVE-2023-26136; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package tough-cookie from 2.4.3 to 4.1.3 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade tough-cookie from 2.4.3 to 4.1.3"
20,38.7,P4,720,appsec-web,juice_shop,trivy,Authorization bypass in express-jwt,high,CVE-2020-15084,CWE-285,Node.js,,,,,False,,False,,0.0,express-jwt,6.0.0,"In express-jwt (NPM package) up and including version 5.3.3, the algorithms entry to be specified in the configuration is not being enforced. When algorithms is not specified in the configuration, with the combination of jwks-rsa, it may lead to authorization bypass. You are affected by this vulnerability if all of the following conditions apply: - You are using express-jwt - You do not have **algorithms** configured in your express-jwt configuration. - You are using libraries such as jwks-rsa as the **secret**. You can fix this by specifying **algorithms** in the express-jwt configuration. See linked GHSA for example. This is also fixed in version 6.0.0.","[first_aid] Apply the vendor security patch for CVE-2020-15084; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package express-jwt from 0.1.3 to 6.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade express-jwt from 0.1.3 to 6.0.0"
21,38.5,P4,720,appsec-web,juice_shop,trivy,jsonwebtoken: Insecure default algorithm in jwt.verify() could lead to signature validation bypass,medium,CVE-2022-23540,CWE-287,Node.js,,,,,False,,False,,0.798,jsonwebtoken,9.0.0,"In versions `<=8.5.1` of `jsonwebtoken` library, lack of algorithm definition in the `jwt.verify()` function can lead to signature validation bypass due to defaulting to the `none` algorithm for signature verification. Users are affected if you do not specify algorithms in the `jwt.verify()` function. This issue has been fixed, please update to version 9.0.0 which removes the default support for the none algorithm in the `jwt.verify()` method. There will be no impact, if you update to version 9.0.0 and you don’t need to allow for the `none` algorithm. If you need 'none' algorithm, you have to explicitly specify that in `jwt.verify()` options.","[first_aid] Apply the vendor security patch for CVE-2022-23540; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package jsonwebtoken from 0.1.0 to 9.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade jsonwebtoken from 0.1.0 to 9.0.0"
22,38.3,P4,720,appsec-web,juice_shop,trivy,socket.io: engine.io: Socket.IO: Denial of Service via invalid binary POST requests,high,CVE-2026-59725,CWE-404,Node.js,,,,,False,,False,,0.0,engine.io,6.6.7,"Socket.IO enables bidirectional and low-latency communication for every platform. From 4.1.0 before 6.6.7, Engine.IO protocol v4 polling transport does not properly close the HTTP response for invalid binary POST requests with Content-Type: application/octet-stream, allowing an unauthenticated attacker to exhaust server-side connections and sockets. This issue is fixed in version 6.6.7.","[first_aid] Apply the vendor security patch for CVE-2026-59725; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package engine.io from 4.1.2 to 6.6.7 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade engine.io from 4.1.2 to 6.6.7"
23,38.3,P4,720,appsec-web,juice_shop,trivy,http-cache-semantics: Regular Expression Denial of Service (ReDoS) vulnerability,high,CVE-2022-25881,CWE-1333,Node.js,,,,,False,,False,,0.0,http-cache-semantics,4.1.1,"This affects versions of the package http-cache-semantics before 4.1.1. The issue can be exploited via malicious request header values sent to a server, when that server reads the cache policy from the request using this library.","[first_aid] Apply the vendor security patch for CVE-2022-25881; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package http-cache-semantics from 3.8.1 to 4.1.1 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade http-cache-semantics from 3.8.1 to 4.1.1"
24,38.3,P4,720,appsec-web,juice_shop,trivy,node-jws: auth0/node-jws: Improper signature verification in HS256 algorithm,high,CVE-2025-65945,CWE-347,Node.js,,,,,False,,False,,0.0,jws,"3.2.3, 4.0.1","auth0/node-jws is a JSON Web Signature implementation for Node.js. In versions 3.2.2 and earlier and version 4.0.0, auth0/node-jws has an improper signature verification vulnerability when using the HS256 algorithm under specific conditions. Applications are affected when they use the jws.createVerify() function for HMAC algorithms and use user-provided data from the JSON Web Signature protected header or payload in HMAC secret lookup routines, which can allow attackers to bypass signature verification. This issue has been patched in versions 3.2.3 and 4.0.1.","[first_aid] Apply the vendor security patch for CVE-2025-65945; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package jws from 0.2.6 to 3.2.3, 4.0.1 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade jws from 0.2.6 to 3.2.3, 4.0.1"
25,38.3,P4,720,appsec-web,juice_shop,trivy,messageformat has a prototype pollution vulnerability,low,CVE-2025-57349,CWE-1321,Node.js,,,,,False,,False,,0.0,messageformat,3.0.0-beta.0,"The messageformat package, an implementation of the Unicode MessageFormat 2 specification for JavaScript, is vulnerable to prototype pollution due to improper handling of message key paths in versions prior to 2.3.0. The flaw arises when processing nested message keys containing special characters (e.g., __proto__ ), which can lead to unintended modification of the JavaScript Object prototype. This vulnerability may allow a remote attacker to inject properties into the global object prototype via specially crafted message input, potentially causing denial of service or other undefined behaviors in applications using the affected component.","[first_aid] Apply the vendor security patch for CVE-2025-57349; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package messageformat from 2.3.0 to 3.0.0-beta.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade messageformat from 2.3.0 to 3.0.0-beta.0"
26,38.3,P4,720,appsec-web,juice_shop,trivy,minimatch: minimatch: Denial of Service via specially crafted glob patterns,high,CVE-2026-26996,CWE-1333,Node.js,,,,,False,,False,,0.0,minimatch,"10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3","minimatch is a minimal matching utility for converting glob expressions into JavaScript RegExp objects. Versions 10.2.0 and below are vulnerable to Regular Expression Denial of Service (ReDoS) when a glob pattern contains many consecutive * wildcards followed by a literal character that doesn't appear in the test string. Each * compiles to a separate [^/]*? regex group, and when the match fails, V8's regex engine backtracks exponentially across all possible splits. The time complexity is O(4^N) where N is the number of * characters. With N=15, a single minimatch() call takes ~2 seconds. With N=34, it hangs effectively forever. Any application that passes user-controlled strings to minimatch() as the pattern argument is vulnerable to DoS. This issue has been fixed in version 10.2.1.","[first_aid] Apply the vendor security patch for CVE-2026-26996; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package minimatch from 3.0.5 to 10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3 (fixed version) in the i | [scanner_guidance] Upgrade minimatch from 3.0.5 to 10.2.1, 9.0.6, 8.0.5, 7.4.7, 6.2.1, 5.1.7, 4.2.4, 3.1.3"
27,38.3,P4,720,appsec-web,juice_shop,trivy,Moment.js: Path traversal  in moment.locale,high,CVE-2022-24785,CWE-22,Node.js,,,,,False,,False,,0.798,moment,2.29.2,"Moment.js is a JavaScript date library for parsing, validating, manipulating, and formatting dates. A path traversal vulnerability impacts npm (server) users of Moment.js between versions 1.0.1 and 2.29.1, especially if a user-provided locale string is directly used to switch moment locale. This problem is patched in 2.29.2, and the patch can be applied to all affected versions. As a workaround, sanitize the user-provided locale name before passing it to Moment.js.","[first_aid] Apply the vendor security patch for CVE-2022-24785; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package moment from 2.0.0 to 2.29.2 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade moment from 2.0.0 to 2.29.2"
28,38.3,P4,720,appsec-web,juice_shop,trivy,Multer vulnerable to Denial of Service via memory leaks from unclosed streams,high,CVE-2025-47935,CWE-401,Node.js,,,,,False,,False,,0.0,multer,2.0.0,"Multer is a node.js middleware for handling `multipart/form-data`. Versions prior to 2.0.0 are vulnerable to a resource exhaustion and memory leak issue due to improper stream handling. When the HTTP request stream emits an error, the internal `busboy` stream is not closed, violating Node.js stream safety guidance. This leads to unclosed streams accumulating over time, consuming memory and file descriptors. Under sustained or repeated failure conditions, this can result in denial of service, requiring manual server restarts to recover. All users of Multer handling file uploads are potentially impacted. Users should upgrade to 2.0.0 to receive a patch. No known workarounds are available.","[first_aid] Apply the vendor security patch for CVE-2025-47935; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package multer from 1.4.5-lts.2 to 2.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade multer from 1.4.5-lts.2 to 2.0.0"
29,38.3,P4,720,appsec-web,juice_shop,trivy,Multer vulnerable to Denial of Service from maliciously crafted requests,high,CVE-2025-47944,CWE-248,Node.js,,,,,False,,False,,0.0,multer,2.0.0,"Multer is a node.js middleware for handling `multipart/form-data`. A vulnerability that is present starting in version 1.4.4-lts.1 and prior to version 2.0.0 allows an attacker to trigger a Denial of Service (DoS) by sending a malformed multi-part upload request. This request causes an unhandled exception, leading to a crash of the process. Users should upgrade to version 2.0.0 to receive a patch. No known workarounds are available.","[first_aid] Apply the vendor security patch for CVE-2025-47944; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package multer from 1.4.5-lts.2 to 2.0.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade multer from 1.4.5-lts.2 to 2.0.0"
30,38.3,P4,720,appsec-web,juice_shop,trivy,multer: Multer: Denial of Service via dropped file upload connections,high,CVE-2026-2359,CWE-772,Node.js,,,,,False,,False,,0.0,multer,2.1.0,"Multer is a node.js middleware for handling `multipart/form-data`. A vulnerability in Multer prior to version 2.1.0 allows an attacker to trigger a Denial of Service (DoS) by dropping connection during file upload, potentially causing resource exhaustion. Users should upgrade to version 2.1.0 to receive a patch. No known workarounds are available.","[first_aid] Apply the vendor security patch for CVE-2026-2359; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package multer from 1.4.5-lts.2 to 2.1.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade multer from 1.4.5-lts.2 to 2.1.0"
31,38.3,P4,720,appsec-web,juice_shop,trivy,multer: Multer: Denial of Service via malformed requests,high,CVE-2026-3304,CWE-459,Node.js,,,,,False,,False,,0.0,multer,2.1.0,"Multer is a node.js middleware for handling `multipart/form-data`. A vulnerability in Multer prior to version 2.1.0 allows an attacker to trigger a Denial of Service (DoS) by sending malformed requests, potentially causing resource exhaustion. Users should upgrade to version 2.1.0 to receive a patch. No known workarounds are available.","[first_aid] Apply the vendor security patch for CVE-2026-3304; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package multer from 1.4.5-lts.2 to 2.1.0 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade multer from 1.4.5-lts.2 to 2.1.0"
32,38.3,P4,720,appsec-web,juice_shop,trivy,multer: Multer: Denial of Service via malformed requests,high,CVE-2026-3520,CWE-674,Node.js,,,,,False,,False,,0.0,multer,2.1.1,"Multer is a node.js middleware for handling `multipart/form-data`. A vulnerability in Multer prior to version 2.1.1 allows an attacker to trigger a Denial of Service (DoS) by sending malformed requests, potentially causing stack overflow. Users should upgrade to version 2.1.1 to receive a patch. No known workarounds are available.","[first_aid] Apply the vendor security patch for CVE-2026-3520; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package multer from 1.4.5-lts.2 to 2.1.1 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade multer from 1.4.5-lts.2 to 2.1.1"
33,38.3,P4,720,appsec-web,juice_shop,trivy,multer: Multer: Denial of Service via deeply nested field names in multipart form data,high,CVE-2026-5079,CWE-400,Node.js,,,,,False,,False,,0.0,multer,"2.2.0, 3.0.0-alpha.2","Impact: multer versions 1.0.0 through 2.1.1 and 3.0.0-alpha.1 are vulnerable to a Denial of Service via deeply nested field names in multipart form data. The append-field dependency parses bracket notation in field names with no limit on nesting depth, allowing an attacker to force allocation of deeply nested object structures that consume CPU and memory. A single HTTP request with a crafted multipart body is sufficient to exploit this.

Patches: Users should upgrade to multer 2.2.0 (2.x line) or 3.0.0-alpha.2 (3.x prerelease) and configure the new limits.fieldNestingDepth option to the minimum depth their application requires.

Workarounds: Set limits.fields to a reasonable value to reduce the number of fields an attacker can send per request. This does not fully mitigate the issue but limits the impact.","[first_aid] Apply the vendor security patch for CVE-2026-5079; if unavailable, isolate the container and restrict egress. | [full_remediation] Upgrade package multer from 1.4.5-lts.2 to 2.2.0, 3.0.0-alpha.2 (fixed version) in the image and rebuild/redeploy. | [scanner_guidance] Upgrade multer from 1.4.5-lts.2 to 2.2.0, 3.0.0-alpha.2"
